date,o3,pm10,pm25,tmp,rh,ws,pp,wd
1/1/2022,0.022083333333333333,58.065,,,,,,
1/10/2022,,,,,46.020833333333336,2.5716666666666668,0.0,118.59894152712715
1/11/2022,,,,,,,0.0,
1/12/2022,,73.86791666666666,,,,,,
1/2/2022,0.015416666666666667,49.37583333333333,,,,,,
1/3/2022,0.04125,61.96541666666667,,29.17777777777778,32.32083333333333,2.6370833333333334,0.0,215.20754719536404
1/4/2022,0.034999999999999996,68.19458333333334,,21.04615384615385,20.837500000000002,3.1495833333333336,0.0,210.57091748493883
1/5/2022,0.042916666666666665,,,,18.183333333333334,3.27125,0.0,211.6259109804079
1/6/2022,0.05958333333333333,,,,39.62916666666667,3.0904166666666666,0.0,192.6440244575688
1/7/2022,0.043333333333333335,,,,59.94166666666666,2.3766666666666665,0.0,160.6886780211941
1/8/2022,0.034999999999999996,,,,58.77916666666667,2.95375,0.0,155.04128667575537
1/9/2022,,,,,61.375,3.5749999999999997,0.0,107.93809422106823
10/1/2022,0.02125,72.00166666666667,,,,,,
10/10/2022,,,,,51.875,3.27,0.0,80.18018666860664
10/11/2022,,68.68875,,,,,0.0,
10/12/2022,,176.55291666666668,88.94291666666668,,,,,
10/2/2022,0.022083333333333333,45.43875,,,,,,
10/3/2022,0.025833333333333333,56.944583333333334,,19.873684210526317,33.770833333333336,3.4770833333333333,0.0,211.4765951576905
10/4/2022,0.024347826086956525,49.91608695652174,,,44.25217391304348,4.682173913043478,0.0,249.36192611649577
10/5/2022,0.055,,,,26.208333333333332,2.6595833333333334,0.0,209.5440431741193
10/6/2022,0.03333333333333333,,,,59.37916666666666,2.9595833333333332,0.03125,178.34654599588924
10/7/2022,0.03958333333333333,,,,59.19583333333333,2.775,0.0,131.16907745073402
10/8/2022,0.03125,,,,70.57083333333334,3.3979166666666667,0.46875,148.72119013737273
10/9/2022,,,,,66.3125,2.0091666666666668,0.0,177.66594567099972
11/1/2022,0.024999999999999998,50.428333333333335,,,,,,
11/10/2022,,,,,46.8125,2.9204166666666667,0.0,85.14695239886574
11/11/2022,,75.16826086956522,,,,,,
11/12/2022,,85.64875,46.86652173913044,,,,,
11/2/2022,0.020416666666666666,42.57041666666667,,,,,,
11/3/2022,0.023333333333333334,57.392500000000005,,17.384615384615383,26.245833333333334,3.2854166666666664,0.0,236.47226667529665
11/4/2022,0.024583333333333332,42.38833333333333,,,41.125,3.640416666666667,0.0,238.6272923358306
11/5/2022,0.04583333333333334,,,,33.358333333333334,4.275416666666667,0.0,134.334289967079
11/6/2022,0.05125,,,,53.324999999999996,3.2070833333333333,0.0,226.40454311432867
11/7/2022,0.05125,,,,56.50416666666666,3.2591666666666668,0.0,196.67549394520935
11/8/2022,0.02625,,,,62.14166666666667,2.9820833333333336,0.0,122.51497421734896
11/9/2022,,,,,56.03333333333333,3.0720833333333335,0.0,74.91815978828548
12/1/2022,0.0275,54.58041666666667,,,,,,
12/10/2022,,,,,50.48333333333333,1.7808333333333335,0.0,227.405850568701
12/11/2022,,99.29666666666667,,,,,,
12/12/2022,,83.73083333333334,51.15416666666667,,,,,
12/2/2022,0.0275,54.0925,,,,,,
12/3/2022,0.03,80.81,,20.6,26.183333333333334,2.486666666666667,0.0,156.76261549066248
12/4/2022,0.020416666666666666,34.80125,,,44.62083333333333,3.6575,0.020833333333333332,257.9815135540429
12/5/2022,0.0425,,,,27.02916666666667,4.1125,0.0,103.9623685987046
12/6/2022,0.045000000000000005,,,,56.7875,3.669166666666667,0.010416666666666666,232.40014125300976
12/7/2022,0.050833333333333335,,,,64.08749999999999,3.3791666666666664,3.3333333333333335,193.90895754031718
12/8/2022,0.03208333333333333,,,,59.574999999999996,2.5966666666666667,0.0,168.9046378012123
12/9/2022,,,,,51.42916666666667,3.2770833333333336,0.0,83.53910857649295
13/1/2022,0.022500000000000003,56.947916666666664,,,,,,
13/10/2022,,,,,48.50952380952381,1.490952380952381,0.0,113.8781008975405
13/11/2022,,85.15083333333332,,,,,,
13/12/2022,,94.88291666666667,54.37291666666667,,,,,
13/2/2022,0.025416666666666667,47.759166666666665,,,,,,
13/3/2022,0.028333333333333335,58.03708333333333,,22.354545454545455,29.583333333333332,3.5391666666666666,0.0,196.80362761784795
13/4/2022,0.023333333333333334,36.94083333333334,,,38.1875,3.077916666666667,0.0,239.86982146289182
13/5/2022,0.04750000000000001,,,,36.7125,3.735,0.0,229.11426958216202
13/6/2022,0.04958333333333333,,,,58.25,3.799166666666667,2.6875,150.93414076735596
13/7/2022,0.04708333333333334,,,,64.27083333333333,2.8175000000000003,0.07291666666666667,164.58410153773107
13/8/2022,0.03958333333333333,,,,64.5,2.5704166666666666,0.17708333333333334,226.67365651299687
13/9/2022,,,,,54.38333333333333,2.7708333333333335,0.0,133.93257781983377
14/1/2022,0.021363636363636366,94.269,,,,,,
14/10/2022,,,,,58.68333333333334,1.3650000000000002,0.0,114.7606814070916
14/11/2022,,54.46125,,,,,,
14/12/2022,,55.75782608695653,52.154444444444444,21.441666666666666,23.45,3.0825,0.0,253.77489486137466
14/2/2022,0.030416666666666665,47.40041666666667,,,,,,
14/3/2022,0.0235,45.3485,,21.488235294117647,33.46521739130435,3.1495652173913045,0.0,221.5994896279513
14/4/2022,0.025833333333333333,38.1075,,,20.316666666666666,2.2095833333333332,0.0,208.8482341607291
14/5/2022,0.04583333333333334,,,,41.4,4.4025,0.041666666666666664,209.16892554068352
14/6/2022,0.044583333333333336,,,,62.81666666666666,3.046666666666667,0.09375,156.1971296186121
