date, pm25, pm10, o3, no2, so2, co
2024/12/12, 121, 48, 61, , 16, 
2024/12/13, 117, 35, 61, , 16, 
2024/12/14, 88, 47, 54, , 21, 
2024/12/15, 114, 53, 52, , 21, 
2024/12/16, 118, 62, 56, , 20, 
2024/12/17, 142, 56, 37, , 16, 
2024/12/18, 126, 50, 38, , 17, 
2024/12/19, 119, 41, 34, , 16, 
2024/12/20, 95, 35, 32, , 15, 
2024/12/21, 82, 39, 32, , 15, 
2024/12/22, 93, 40, 40, , 16, 
2024/12/23, 96, 34, 36, , 16, 
2024/12/24, 92, 37, 37, , 14, 
2024/12/25, 101, 48, 36, , 17, 
2024/12/26, 121, 30, 37, , 13, 
2024/12/27, 85, 52, 41, , 19, 
2024/12/28, 123, 47, 61, , 18, 
2024/12/29, 116, 60, 52, , 20, 
2024/12/30, 126, , , , , 
2024/7/2, 17, 15, 24, , , 
2024/7/3, 41, 13, 23, , , 
2024/7/4, 38, 15, 40, , , 
2024/7/5, 49, 27, 41, , , 
2024/7/6, 70, 22, 47, , , 
2024/7/7, 66, 27, 16, , , 
2024/7/8, 46, , , , , 
2024/8/5, 60, 24, 34, , , 
2024/8/6, 62, 24, 33, , , 
2024/8/7, 63, 22, 50, , , 
2024/8/8, 61, 28, 32, , , 
2024/8/9, 67, 28, 36, , , 
2024/8/10, 63, 20, 29, , , 
2024/8/11, 62, 19, 30, , , 
2024/8/12, 47, 18, 34, , , 
2024/8/13, 52, 19, 25, , , 
2024/8/14, 45, 23, 24, , , 
2024/8/15, 54, 22, 30, , , 
2024/8/16, 58, 18, 22, , , 
2024/8/17, 50, 18, 28, , , 
2024/8/18, 45, 19, 21, , , 
2024/8/19, 41, 21, 23, , , 
2024/8/20, 57, 22, 25, , , 
2024/8/21, 53, 24, 28, , , 
2024/8/22, 51, 20, 29, , , 
2024/8/23, 49, 20, 28, , 6, 
2024/8/24, 56, 19, 29, , 5, 
2024/8/25, 47, 21, 32, , 5, 
2024/8/26, 57, 25, 31, , 7, 
2024/8/27, 60, 25, 35, , 4, 
2024/8/28, 56, 26, , , 5, 
2024/8/29, 60, 17, , , 7, 
2024/8/30, 51, 18, , , 5, 
2024/8/31, 40, 15, , , 6, 
2024/9/1, 45, 18, , , 5, 
2024/9/2, 47, 16, , , 5, 
2024/9/3, 55, 18, , , 6, 
2024/9/4, 55, 16, , , 5, 
2024/9/5, 45, 23, , , 7, 
2024/9/6, 62, 14, , , 6, 
2024/9/7, 42, 15, , , 3, 
2024/9/8, 37, 15, , , 4, 
2024/9/9, 42, 20, , , 5, 
2024/9/10, 53, 27, 24, , 6, 
2024/9/11, 72, 20, 17, , 3, 
2024/9/12, 62, 16, 18, , 4, 
2024/9/13, 47, 25, 27, , 7, 
2024/9/14, 57, 23, 33, , 6, 
2024/9/15, 52, 19, 19, , 5, 
2024/9/16, 47, 20, 54, , 5, 
2024/9/17, 43, 30, 47, , 6, 
2024/9/18, 72, 27, 35, , 5, 
2024/9/19, 63, 23, 43, , 5, 
2024/9/20, 58, 24, 52, , 7, 
2024/9/21, 65, 21, 48, , , 
2024/9/22, 53, 21, 32, , , 
2024/9/23, 57, 25, 33, , , 
2024/9/24, 57, 22, 30, , , 
2024/9/25, 57, 72, 31, , 2, 
2024/9/26, 47, 18, 29, , 5, 
2024/9/27, 67, 11, 28, , 6, 
2024/9/28, 44, 14, 17, , 2, 
2024/9/29, 40, 17, 15, , 3, 
2024/9/30, 53, 19, 39, , 4, 
2024/10/1, 60, 22, 30, , 5, 
2024/4/7, 62, 35, 40, , 7, 
2024/4/8, 79, 35, 32, , 7, 
2024/4/9, 91, 38, 37, , 6, 
2024/4/10, 109, 29, 32, , 7, 
2024/4/11, 87, 40, 48, , 9, 
2024/4/12, 100, 46, 48, , 8, 
2024/4/13, 110, 46, 79, , 8, 
2024/4/14, 96, 46, 66, , 7, 
2024/4/15, 89, 45, 71, , 6, 
2024/4/16, 100, 40, 74, , 7, 
2024/4/17, 104, 36, 56, , 8, 
2024/4/18, 95, 31, 10, , 7, 
2024/4/19, 86, 37, 60, , 6, 
2024/4/20, 99, 33, 56, , 7, 
2024/4/21, 81, 28, 53, , 6, 
2024/4/22, 80, 40, 55, , 6, 
2024/4/23, 109, 40, 65, , 7, 
2024/4/24, 105, 38, 59, , 7, 
2024/4/25, 104, 38, 49, , 7, 
2024/4/26, 101, 29, 5, , 9, 
2024/4/27, 60, , , , , 
2024/5/1, 105, 37, 67, , 6, 
2024/5/2, 110, 45, 62, , 6, 
2024/5/3, 112, 43, 84, , 7, 
