date,pm25
2018-01-08,1.6274854540652286
2018-01-09,1.6274854540652286
2018-01-10,1.4461811782142222
2018-01-11,1.7181375919907318
2018-01-12,0.4792250403421882
2018-01-13,1.808789729916235
2018-01-14,2.2016156609267488
2018-01-15,1.0533552472037084
2018-01-16,1.6577028333737296
2018-01-17,2.2620504195437507
2018-01-18,1.5972680747567276
2018-01-19,1.4159637989057212
2018-01-20,0.7209640748101968
2018-01-21,0.6000945575761925
2018-01-22,0.9022683506612031
2018-01-23,1.5368333161397254
2018-01-24,1.6274854540652286
2018-01-25,0.7813988334271988
2018-01-26,-0.03447040790232985
2018-01-27,1.0533552472037084
2018-01-28,1.5670506954482264
2018-01-29,-0.0646877872108309
2018-01-30,-0.8503396492318586
2018-01-31,-0.36686158029584154
2018-02-01,0.4187902817251861
2018-02-02,1.7483549712992328
2018-02-03,0.8418335920442009
2018-02-04,1.2044421437462138
2018-02-05,0.1770512472571776
2018-02-06,0.20726862656567865
2018-02-07,1.0533552472037084
2018-02-08,0.7209640748101968
2018-02-09,0.7813988334271988
2018-02-10,-0.3064268216788394
2018-02-11,-0.2459920630618373
2018-02-12,0.23748600587417973
2018-02-13,0.8116162127357
2018-02-14,0.5094424196506893
2018-02-15,0.20726862656567865
2018-02-16,0.8116162127357
2018-02-17,1.5670506954482264
2018-02-18,0.6303119368846936
2018-02-19,0.0863991093316744
2018-02-20,0.3281381437996829
2018-02-21,-0.2459920630618373
2018-02-22,0.2677033851826808
2018-02-23,0.6000945575761925
2018-02-24,0.3281381437996829
2018-02-25,0.14683386794867653
2018-02-26,-0.1553399251363341
2018-02-27,0.14683386794867653
2018-02-28,0.4792250403421882
2018-03-01,0.7511814541186977
2018-03-02,1.0533552472037084
2018-03-03,1.1440073851292116
2018-03-04,1.295094281671717
2018-03-05,0.11661648864017547
2018-03-06,0.8116162127357
2018-03-07,0.872050971352702
2018-03-08,0.9627031092782052
2018-03-09,0.7813988334271988
2018-03-10,0.5094424196506893
2018-03-11,0.5094424196506893
2018-03-12,0.35835552310818397
2018-03-13,1.2044421437462138
2018-03-14,1.1440073851292116
2018-03-15,1.1742247644377126
2018-03-16,1.7483549712992328
2018-03-17,0.7511814541186977
2018-03-18,0.7813988334271988
2018-03-19,0.0863991093316744
2018-03-20,0.14683386794867653
2018-03-21,0.8418335920442009
2018-03-22,0.9627031092782052
2018-03-23,0.8116162127357
2018-03-24,1.325311660980218
2018-03-25,0.9022683506612031
2018-03-26,0.5094424196506893
2018-03-27,1.0231378678952074
2018-03-28,0.9324857299697041
2018-03-29,0.9929204885867063
2018-03-30,0.7813988334271988
2018-03-31,0.5094424196506893
2018-04-01,0.6303119368846936
2018-04-02,1.2648769023632158
2018-04-03,0.2677033851826808
2018-04-04,0.23748600587417973
2018-04-05,0.5094424196506893
2018-04-06,0.388572902416685
2018-04-07,0.23748600587417973
2018-04-08,0.056181730023173344
2018-04-09,0.23748600587417973
2018-04-10,0.4792250403421882
2018-04-11,1.2044421437462138
2018-04-12,0.9627031092782052
2018-05-31,0.6000945575761925
2018-06-01,1.5670506954482264
2018-06-02,1.0835726265122094
2018-06-03,0.9022683506612031
2018-06-04,1.6577028333737296
2018-06-05,0.44900766103368717
2018-06-06,0.9022683506612031
2018-06-07,1.5972680747567276
2018-06-08,1.1591160747834621
2018-06-09,0.7209640748101968
2018-06-11,-0.3629120411411532
2018-06-12,-0.6885617587706273
2018-06-13,-0.8790078558546845
2018-06-14,-0.9409917871573618
2018-06-15,-0.6690353733808522
2018-06-16,-0.6992527526893533
2018-06-17,-1.061861304391366
2018-06-18,-0.8201222699233575
2018-06-19,-0.6388179940723511
2018-06-20,-1.2129482009338712
2018-06-21,-0.9107744078488607
2018-06-22,-0.7294701319978543
2018-06-23,-0.36686158029584154
2018-06-24,-0.4719097338353004
2018-06-25,-0.6992527526893533
2018-06-26,-1.092078683699867
2018-06-27,-1.0316439250828648
2018-06-28,-1.1525134423168693
2018-06-29,-0.8201222699233575
2018-06-30,-0.27620944237033834
2018-07-01,0.052944153668690964
2018-07-02,0.20726862656567865
2018-07-03,0.20726862656567865
2018-07-04,0.20726862656567865
2018-07-05,0.20726862656567865
2018-07-06,0.20726862656567865
2018-07-07,0.20726862656567865
2018-07-08,0.20726862656567865
2018-07-09,-0.7596875113063554
2018-07-10,-0.7596828909307443
2018-07-11,-0.7596650047282036
2018-07-12,-0.7596278150851702
2018-07-13,-0.7595652843880821
2018-07-14,-0.7594713750233771
2018-07-15,-0.7593400493774926
2018-07-16,-0.7591652698368663
2018-07-17,-0.7589409987879357
2018-07-18,-0.7586611986171389
2018-07-19,-0.7583198317109132
2018-07-20,-0.7579108604556962
2018-07-21,-0.7574282472379258
2018-07-22,-0.7568659544440395
2018-07-23,-0.756217944460475
2018-07-24,-0.7554781796736699
2018-07-25,-0.7546406224700618
2018-07-26,-0.7536992352360886
2018-07-27,-0.7526479803581878
2018-07-28,-0.7514808202227968
2018-07-30,-0.7487746337252958
2018-07-31,-0.7472235321360612
2018-08-01,-0.7455323748350869
2018-08-02,-0.7436951242088109
2018-08-03,-0.741705742643671
2018-08-04,-0.7395581925261047
2018-08-05,-0.7372464362425494
2018-08-06,-0.7347644361794432
2018-08-07,-0.7321061547232235
2018-08-08,-0.7292655542603279
2018-08-09,-0.7262365971771944
2018-08-10,-0.7230132458602603
2018-08-11,-0.7195894626959632
2018-08-12,-0.7159592100707411
2018-08-13,-0.7121164503710312
2018-08-14,-0.7080551459832715
2018-08-15,-0.7037692592938998
2018-08-16,-0.6992527526893533
