date,o3,pm10,pm25,tmp,rh,ws,wd
2017-01-01,0.0147916666666666,48.94583333333333,24.86923076923077,19.475,52.125,2.5166666666666666,9.64872058695006
2017-01-02,0.014,55.2,24.86923076923077,19.358333333333334,49.69166666666666,1.2916666666666667,9.957045042576864
2017-01-03,0.0174583333333333,62.9375,24.86923076923077,19.970833333333335,43.0375,1.0625,11.69589591129232
2017-01-04,0.0195,80.21249999999999,24.86923076923077,20.620833333333337,38.22083333333333,1.1958333333333333,12.786368097663804
2017-01-05,0.0137083333333333,53.1375,24.86923076923077,21.870833333333337,31.508333333333336,2.375,14.540040469708012
2017-01-06,0.0122083333333333,59.64166666666667,24.86923076923077,20.925,32.59583333333333,1.6583333333333332,12.889067565428215
2017-01-07,0.015125,59.50416666666666,24.86923076923077,20.320833333333333,34.00416666666667,1.3291666666666666,12.216862370801763
2017-01-08,0.0152083333333333,48.3,24.86923076923077,17.729166666666668,40.9625,3.483333333333333,8.784494221479484
2017-01-09,0.0150833333333333,49.02916666666667,24.86923076923077,17.05,33.9,2.4208333333333334,8.724130446906333
2017-01-10,0.0140833333333333,76.74166666666666,24.86923076923077,16.995833333333334,29.84583333333333,1.2875,8.606533371281733
2017-01-11,0.0173333333333333,76.74166666666666,24.86923076923077,18.629166666666663,29.4625,1.2333333333333334,10.418767115559422
2017-01-12,0.0163333333333333,75.1875,24.86923076923077,19.466666666666665,39.275,1.1833333333333331,10.410111653842952
2017-01-13,0.01275,71.30833333333334,24.86923076923077,19.516666666666666,37.34583333333333,1.5583333333333331,10.11447605975486
2017-01-14,0.0120416666666666,54.05416666666667,24.86923076923077,19.020833333333332,38.74583333333333,1.7083333333333333,8.340191933874255
2017-01-15,0.01255,61.775,24.86923076923077,19.39,35.995,2.015,9.531928492603466
2017-01-16,0.010125,46.87083333333334,24.86923076923077,18.970833333333335,38.775,2.1791666666666667,9.734011528686947
2017-01-17,0.0107391304347826,39.93913043478261,24.86923076923077,18.9,43.40869565217391,2.6695652173913045,9.18779899826293
2017-01-18,0.0107083333333333,33.020833333333336,24.86923076923077,18.904166666666665,45.479166666666664,2.3833333333333333,8.379595689202272
2017-01-19,0.011,30.4,24.86923076923077,19.204166666666666,45.65,3.0500000000000003,9.261343258799148
2017-01-20,0.0123529411764705,48.09411764705882,24.86923076923077,19.929411764705883,41.04117647058824,4.7176470588235295,9.634303261715226
2017-01-21,0.0121666666666666,39.979166666666664,24.86923076923077,17.354166666666668,42.166666666666664,3.4,8.591326590594022
2017-01-22,0.0146249999999999,51.9125,24.86923076923077,17.470833333333335,30.320833333333336,1.2791666666666666,9.1329506318201
2017-01-23,0.0137083333333333,77.17083333333333,24.86923076923077,19.25,22.1125,2.0958333333333337,11.092446529725503
2017-01-24,0.0154166666666666,82.85833333333333,24.86923076923077,19.933333333333337,36.31666666666667,2.5708333333333333,10.542347522109967
2017-01-25,0.01125,44.05416666666667,24.86923076923077,18.9875,44.729166666666664,2.283333333333333,9.48547606084136
2017-01-26,0.0147916666666666,58.925,24.86923076923077,19.741666666666667,46.44166666666666,1.4375,10.776823758813272
2017-01-27,0.0129166666666666,64.1125,24.86923076923077,20.295833333333334,35.637499999999996,2.283333333333333,11.192385642433276
2017-01-28,0.0137916666666666,51.229166666666664,24.86923076923077,19.2375,32.858333333333334,1.85,9.817150134581048
2017-01-29,0.01675,46.175,24.86923076923077,17.216666666666665,37.46666666666667,3.3000000000000003,7.896179207120923
2017-01-30,0.0157916666666666,39.479166666666664,24.86923076923077,17.9875,38.8,2.720833333333333,9.064690414286488
2017-01-31,0.0109583333333333,40.03333333333333,24.86923076923077,16.958333333333332,57.625,1.725,6.802940794474392
2017-02-01,0.011,34.44583333333333,24.86923076923077,18.004166666666666,56.86666666666667,2.0708333333333333,8.498528940955602
2017-02-02,0.011,47.09166666666667,24.86923076923077,19.370833333333337,44.05833333333334,1.6583333333333332,10.26397721289917
2017-02-03,0.0129583333333333,63.19583333333333,24.86923076923077,20.041666666666668,35.15416666666666,2.2875,10.685611590248657
2017-02-04,0.014125,56.675,24.86923076923077,20.179166666666667,37.4625,2.2333333333333334,10.254024452853669
2017-02-05,0.0154166666666666,49.93333333333334,24.86923076923077,21.095833333333335,35.108333333333334,1.8625,10.643894567241162
2017-02-06,0.0144166666666666,35.72083333333333,24.86923076923077,20.716666666666665,30.208333333333332,2.1875,11.060299960491603
2017-02-07,0.0152083333333333,56.1875,24.86923076923077,20.6625,27.758333333333336,1.425,11.288147601036329
2017-02-08,0.0025555555555555,83.2909090909091,24.86923076923077,21.556521739130435,28.282608695652176,1.017391304347826,12.881038584451812
2017-02-09,0.0179375,77.59375,24.86923076923077,21.925,25.733333333333334,2.8041666666666667,12.218762815749132
2017-02-10,0.0161666666666666,60.958333333333336,24.86923076923077,22.004166666666663,32.69583333333333,2.3916666666666666,12.044864607535953
2017-02-11,0.0160833333333333,81.25416666666666,24.86923076923077,22.604166666666668,30.8,1.7833333333333332,12.886911410692685
2017-02-12,0.01675,49.729166666666664,24.86923076923077,22.4125,31.808333333333337,1.6708333333333334,12.739731470928083
2017-02-13,0.0164166666666666,53.24166666666667,24.86923076923077,21.683333333333337,32.637499999999996,3.220833333333333,11.517401421726207
2017-02-14,0.0134166666666666,53.30833333333334,24.86923076923077,19.891666666666666,33.4375,3.1166666666666667,9.638221610308056
2017-02-15,0.0129166666666666,57.65,24.86923076923077,18.370833333333337,35.579166666666666,2.4791666666666665,7.97052257490901
