date,o3,pm10,pm25,tmp,rh,ws,pp,wd
2020-01-01,0.00825,,55.15,15.299999999999999,59.17916666666667,3.43375,0.4479166666666667,0.09526315789540302
2020-01-02,0.016,,15.11111111111111,11.920833333333334,65.96249999999999,4.395416666666667,0.78125,0.09571428571917028
2020-01-03,0.023214285714285715,,23.791666666666668,11.391666666666666,54.9375,1.3970833333333335,0.0,0.10045454543051476
2020-01-04,0.019454545454545454,,18.291666666666668,10.737499999999999,38.62916666666667,3.7954166666666667,0.0,0.0938461547193812
2020-01-05,0.02322727272727273,,24.083333333333332,11.116666666666667,29.458333333333332,2.2216666666666667,0.0,0.09999999994288422
2020-01-06,0.02842857142857143,,30.375,12.516666666666666,35.112500000000004,1.7329166666666669,0.0,0.08692307768247144
2020-01-07,0.025125,,38.416666666666664,14.825000000000001,32.354166666666664,2.5520833333333335,0.0,0.09647058823238003
2020-01-08,0.024272727272727276,,32.041666666666664,13.295833333333334,39.5375,2.545,0.0,0.09214285717838105
2020-01-09,0.0312,,35.208333333333336,14.887500000000001,52.17083333333333,1.5175,0.0,0.1017647037136356
2020-01-10,0.01941666666666667,,23.166666666666668,15.733333333333334,47.92083333333333,2.120416666666667,0.0,0.0993749993112642
2020-01-11,0.029416666666666664,,33.5,15.674999999999999,42.454166666666666,1.2891666666666668,0.0,0.1015789467157519
2020-01-12,0.027923076923076922,,30.375,15.204166666666666,41.266666666666666,1.75375,0.0,0.09999999667967033
2020-01-13,0.03253846153846154,,30.291666666666668,16.066666666666666,41.67916666666667,1.1116666666666666,0.0,0.10285713960448609
2020-01-14,0.040545454545454544,,35.958333333333336,16.1375,43.57083333333333,1.3208333333333333,0.0,0.09823529258457757
2020-01-15,0.037307692307692306,,36.5,16.566666666666666,46.17916666666667,1.6716666666666666,0.0,0.09222222230760424
2020-01-16,0.02636842105263158,,31.708333333333332,17.270833333333332,48.612500000000004,2.1254166666666667,0.0,0.09812499990369151
2020-01-17,0.025391304347826084,,25.75,17.416666666666668,50.78333333333333,2.685416666666667,0.041666666666666664,0.0941176489591947
2020-01-18,0.019450000000000002,,30.625,17.05,50.34583333333333,1.6275000000000002,0.0,0.10210526234379036
2020-01-19,0.022041666666666668,,21.458333333333332,17.204166666666666,50.449999999999996,4.107083333333334,0.0,0.10099999916321598
2020-01-20,0.014849999999999999,,18.0,15.833333333333334,55.62916666666666,3.515833333333333,0.0,0.10333333209417972
2020-01-21,0.023434782608695654,,26.166666666666668,15.8125,50.2125,3.3370833333333336,0.0,0.09437499999129877
2020-01-22,0.018782608695652174,,19.157894736842106,15.742857142857144,48.604166666666664,3.41,0.0,0.09374999998988574
2020-01-23,0.014105263157894737,,35.7,15.100000000000001,57.472727272727276,2.028636363636364,0.0,0.09222222210452598
2020-01-24,0.015769230769230768,,38.42857142857143,14.795833333333334,54.9125,1.9000000000000001,0.0,0.09214285713641845
2020-01-25,0.014956521739130434,,16.9,15.483333333333334,55.8375,2.7504166666666667,0.0,0.09545454528449981
2020-01-26,0.013708333333333335,,12.142857142857142,14.979166666666666,56.175000000000004,3.28375,0.0,0.10055555012648523
2020-01-27,0.01805,,22.75,13.975,51.208333333333336,1.8270833333333334,0.0,0.09388888889278887
2020-01-28,0.021476190476190475,,28.235294117647058,13.858333333333334,41.55,2.2343478260869567,0.0,0.09071428580931215
2020-01-29,0.024470588235294116,,31.681818181818183,14.716666666666667,39.483333333333334,3.360416666666667,0.0,0.09999999996953826
2020-01-30,0.018238095238095237,,17.73913043478261,12.766666666666666,58.13333333333333,3.4600000000000004,0.0,0.09333333332957261
2020-01-31,0.01805,,26.15,13.375,53.550000000000004,2.2408333333333332,0.0,0.09588234678248615
2020-02-01,0.022318181818181817,,23.61904761904762,13.275,37.670833333333334,4.273333333333333,0.0,0.10399999856586119
2020-02-02,0.017708333333333333,,17.0,13.275,50.1,2.6616666666666666,0.0,0.0921052617927788
2020-02-03,0.0036666666666666666,,9.789473684210526,10.529166666666667,85.2304347826087,1.5875000000000001,1.0208333333333333,0.09000000021190778
2020-02-04,0.007842105263157895,,10.916666666666666,12.833333333333334,72.29411764705883,2.7112499999999997,0.71875,0.09307692311782527
2020-02-05,0.00890909090909091,,11.708333333333334,13.833333333333334,66.02916666666667,4.6975,0.020833333333333332,0.09285714297703601
2020-02-06,0.01788235294117647,,22.583333333333332,12.387500000000001,50.76666666666667,2.1683333333333334,0.0,0.08588235242475913
2020-02-07,0.0285,,41.291666666666664,14.475,41.25416666666667,1.47,0.0,0.09571428571606191
2020-02-08,0.023470588235294118,,25.375,15.454166666666666,47.145833333333336,1.7474999999999998,0.0,0.09461538461441407
2020-02-09,0.0169375,,16.375,16.316666666666666,56.54583333333333,2.1008333333333336,0.0,0.09470588235219717
2020-02-10,0.010687499999999999,,18.523809523809526,17.045833333333334,57.65416666666667,2.8375000000000004,0.0,0.095217391373999
2020-02-11,0.018000000000000002,,24.565217391304348,16.808333333333334,57.42083333333333,3.299583333333333,0.0,0.09666666661965781
2020-02-12,0.01242857142857143,,24.0,15.491666666666667,46.97083333333333,3.236666666666667,0.0,0.09615384584659435
2020-02-13,0.02035714285714286,,30.458333333333332,16.087500000000002,46.50833333333333,2.1875,0.0,0.08625000022667821
2020-02-14,0.025157894736842105,,34.375,17.45,43.48333333333333,1.8329166666666667,0.0,0.10470586975115626
2020-02-15,0.02836842105263158,,29.625,17.849999999999998,46.375,2.1666666666666665,0.0,0.09249999696334514
2020-02-16,0.0312,,23.541666666666668,18.820833333333333,43.25833333333333,2.1620833333333334,0.0,0.1029999986386647
2020-02-17,0.02841176470588235,,28.083333333333332,20.054166666666667,37.608333333333334,1.7791666666666668,0.0,0.0946153845999943
2020-02-18,0.03105555555555555,,37.375,20.254166666666666,40.520833333333336,1.95,0.0,0.09666666647701949
2020-02-19,0.03058823529411765,,33.5,20.075,40.2125,2.495833333333333,0.0,0.0964705879572757
2020-02-20,0.03152380952380952,,34.208333333333336,20.0,36.03333333333333,2.3383333333333334,0.0,0.09450000055162407
2020-02-21,0.02266666666666667,,42.916666666666664,19.375,40.67916666666667,3.3808333333333334,0.0,0.0966666665485804
2020-02-22,0.03179166666666667,,37.916666666666664,19.020833333333332,43.49583333333334,2.8679166666666664,0.0,0.09399999996507054
